key,orig_split,class,stem,image_label,class_id,n_boxes,n_removed_components,defect_area_ratio,src_image
train__good__072,train,good,072,0,,0,0,0.000000,train\good\072.png
train__good__073,train,good,073,0,,0,0,0.000000,train\good\073.png
train__good__074,train,good,074,0,,0,0,0.000000,train\good\074.png
train__good__075,train,good,075,0,,0,0,0.000000,train\good\075.png
train__good__076,train,good,076,0,,0,0,0.000000,train\good\076.png
train__good__077,train,good,077,0,,0,0,0.000000,train\good\077.png
train__good__078,train,good,078,0,,0,0,0.000000,train\good\078.png
train__good__079,train,good,079,0,,0,0,0.000000,train\good\079.png
train__good__080,train,good,080,0,,0,0,0.000000,train\good\080.png
train__good__081,train,good,081,0,,0,0,0.000000,train\good\081.png
train__good__082,train,good,082,0,,0,0,0.000000,train\good\082.png
train__good__083,train,good,083,0,,0,0,0.000000,train\good\083.png
train__good__084,train,good,084,0,,0,0,0.000000,train\good\084.png
train__good__085,train,good,085,0,,0,0,0.000000,train\good\085.png
train__good__086,train,good,086,0,,0,0,0.000000,train\good\086.png
train__good__087,train,good,087,0,,0,0,0.000000,train\good\087.png
train__good__088,train,good,088,0,,0,0,0.000000,train\good\088.png
train__good__089,train,good,089,0,,0,0,0.000000,train\good\089.png
train__good__090,train,good,090,0,,0,0,0.000000,train\good\090.png
train__good__091,train,good,091,0,,0,0,0.000000,train\good\091.png
train__good__092,train,good,092,0,,0,0,0.000000,train\good\092.png
train__good__093,train,good,093,0,,0,0,0.000000,train\good\093.png
train__good__094,train,good,094,0,,0,0,0.000000,train\good\094.png
train__good__095,train,good,095,0,,0,0,0.000000,train\good\095.png
train__good__096,train,good,096,0,,0,0,0.000000,train\good\096.png
train__good__097,train,good,097,0,,0,0,0.000000,train\good\097.png
train__good__098,train,good,098,0,,0,0,0.000000,train\good\098.png
train__good__099,train,good,099,0,,0,0,0.000000,train\good\099.png
train__good__100,train,good,100,0,,0,0,0.000000,train\good\100.png
train__good__101,train,good,101,0,,0,0,0.000000,train\good\101.png
train__good__102,train,good,102,0,,0,0,0.000000,train\good\102.png
train__good__103,train,good,103,0,,0,0,0.000000,train\good\103.png
train__good__104,train,good,104,0,,0,0,0.000000,train\good\104.png
train__good__105,train,good,105,0,,0,0,0.000000,train\good\105.png
train__good__106,train,good,106,0,,0,0,0.000000,train\good\106.png
train__good__107,train,good,107,0,,0,0,0.000000,train\good\107.png
train__good__108,train,good,108,0,,0,0,0.000000,train\good\108.png
train__good__109,train,good,109,0,,0,0,0.000000,train\good\109.png
train__good__110,train,good,110,0,,0,0,0.000000,train\good\110.png
train__good__111,train,good,111,0,,0,0,0.000000,train\good\111.png
train__good__112,train,good,112,0,,0,0,0.000000,train\good\112.png
train__good__113,train,good,113,0,,0,0,0.000000,train\good\113.png
train__good__114,train,good,114,0,,0,0,0.000000,train\good\114.png
train__good__115,train,good,115,0,,0,0,0.000000,train\good\115.png
train__good__116,train,good,116,0,,0,0,0.000000,train\good\116.png
train__good__117,train,good,117,0,,0,0,0.000000,train\good\117.png
train__good__118,train,good,118,0,,0,0,0.000000,train\good\118.png
train__good__119,train,good,119,0,,0,0,0.000000,train\good\119.png
train__good__120,train,good,120,0,,0,0,0.000000,train\good\120.png
train__good__121,train,good,121,0,,0,0,0.000000,train\good\121.png
train__good__122,train,good,122,0,,0,0,0.000000,train\good\122.png
train__good__123,train,good,123,0,,0,0,0.000000,train\good\123.png
train__good__124,train,good,124,0,,0,0,0.000000,train\good\124.png
train__good__125,train,good,125,0,,0,0,0.000000,train\good\125.png
train__good__126,train,good,126,0,,0,0,0.000000,train\good\126.png
train__good__127,train,good,127,0,,0,0,0.000000,train\good\127.png
train__good__128,train,good,128,0,,0,0,0.000000,train\good\128.png
train__good__129,train,good,129,0,,0,0,0.000000,train\good\129.png
train__good__130,train,good,130,0,,0,0,0.000000,train\good\130.png
train__good__131,train,good,131,0,,0,0,0.000000,train\good\131.png
train__good__132,train,good,132,0,,0,0,0.000000,train\good\132.png
train__good__133,train,good,133,0,,0,0,0.000000,train\good\133.png
train__good__134,train,good,134,0,,0,0,0.000000,train\good\134.png
train__good__135,train,good,135,0,,0,0,0.000000,train\good\135.png
train__good__136,train,good,136,0,,0,0,0.000000,train\good\136.png
train__good__137,train,good,137,0,,0,0,0.000000,train\good\137.png
train__good__138,train,good,138,0,,0,0,0.000000,train\good\138.png
train__good__139,train,good,139,0,,0,0,0.000000,train\good\139.png
train__good__140,train,good,140,0,,0,0,0.000000,train\good\140.png
train__good__141,train,good,141,0,,0,0,0.000000,train\good\141.png
train__good__142,train,good,142,0,,0,0,0.000000,train\good\142.png
train__good__143,train,good,143,0,,0,0,0.000000,train\good\143.png
train__good__144,train,good,144,0,,0,0,0.000000,train\good\144.png
train__good__145,train,good,145,0,,0,0,0.000000,train\good\145.png
train__good__146,train,good,146,0,,0,0,0.000000,train\good\146.png
train__good__147,train,good,147,0,,0,0,0.000000,train\good\147.png
train__good__148,train,good,148,0,,0,0,0.000000,train\good\148.png
train__good__149,train,good,149,0,,0,0,0.000000,train\good\149.png
train__good__150,train,good,150,0,,0,0,0.000000,train\good\150.png
train__good__151,train,good,151,0,,0,0,0.000000,train\good\151.png
train__good__152,train,good,152,0,,0,0,0.000000,train\good\152.png
train__good__153,train,good,153,0,,0,0,0.000000,train\good\153.png
train__good__154,train,good,154,0,,0,0,0.000000,train\good\154.png
train__good__155,train,good,155,0,,0,0,0.000000,train\good\155.png
train__good__156,train,good,156,0,,0,0,0.000000,train\good\156.png
train__good__157,train,good,157,0,,0,0,0.000000,train\good\157.png
train__good__158,train,good,158,0,,0,0,0.000000,train\good\158.png
train__good__159,train,good,159,0,,0,0,0.000000,train\good\159.png
train__good__160,train,good,160,0,,0,0,0.000000,train\good\160.png
train__good__161,train,good,161,0,,0,0,0.000000,train\good\161.png
train__good__162,train,good,162,0,,0,0,0.000000,train\good\162.png
train__good__163,train,good,163,0,,0,0,0.000000,train\good\163.png
train__good__164,train,good,164,0,,0,0,0.000000,train\good\164.png
train__good__165,train,good,165,0,,0,0,0.000000,train\good\165.png
train__good__166,train,good,166,0,,0,0,0.000000,train\good\166.png
train__good__167,train,good,167,0,,0,0,0.000000,train\good\167.png
train__good__168,train,good,168,0,,0,0,0.000000,train\good\168.png
train__good__169,train,good,169,0,,0,0,0.000000,train\good\169.png
train__good__170,train,good,170,0,,0,0,0.000000,train\good\170.png
train__good__171,train,good,171,0,,0,0,0.000000,train\good\171.png
train__good__172,train,good,172,0,,0,0,0.000000,train\good\172.png
train__good__173,train,good,173,0,,0,0,0.000000,train\good\173.png
train__good__174,train,good,174,0,,0,0,0.000000,train\good\174.png
train__good__175,train,good,175,0,,0,0,0.000000,train\good\175.png
train__good__176,train,good,176,0,,0,0,0.000000,train\good\176.png
train__good__177,train,good,177,0,,0,0,0.000000,train\good\177.png
train__good__178,train,good,178,0,,0,0,0.000000,train\good\178.png
train__good__179,train,good,179,0,,0,0,0.000000,train\good\179.png
train__good__180,train,good,180,0,,0,0,0.000000,train\good\180.png
train__good__181,train,good,181,0,,0,0,0.000000,train\good\181.png
train__good__182,train,good,182,0,,0,0,0.000000,train\good\182.png
train__good__183,train,good,183,0,,0,0,0.000000,train\good\183.png
train__good__184,train,good,184,0,,0,0,0.000000,train\good\184.png
train__good__185,train,good,185,0,,0,0,0.000000,train\good\185.png
train__good__186,train,good,186,0,,0,0,0.000000,train\good\186.png
train__good__187,train,good,187,0,,0,0,0.000000,train\good\187.png
train__good__188,train,good,188,0,,0,0,0.000000,train\good\188.png
train__good__189,train,good,189,0,,0,0,0.000000,train\good\189.png
train__good__190,train,good,190,0,,0,0,0.000000,train\good\190.png
train__good__191,train,good,191,0,,0,0,0.000000,train\good\191.png
train__good__192,train,good,192,0,,0,0,0.000000,train\good\192.png
train__good__193,train,good,193,0,,0,0,0.000000,train\good\193.png
train__good__194,train,good,194,0,,0,0,0.000000,train\good\194.png
train__good__195,train,good,195,0,,0,0,0.000000,train\good\195.png
train__good__196,train,good,196,0,,0,0,0.000000,train\good\196.png
train__good__197,train,good,197,0,,0,0,0.000000,train\good\197.png
train__good__198,train,good,198,0,,0,0,0.000000,train\good\198.png
train__good__199,train,good,199,0,,0,0,0.000000,train\good\199.png
train__good__200,train,good,200,0,,0,0,0.000000,train\good\200.png
train__good__201,train,good,201,0,,0,0,0.000000,train\good\201.png
train__good__202,train,good,202,0,,0,0,0.000000,train\good\202.png
train__good__203,train,good,203,0,,0,0,0.000000,train\good\203.png
train__good__204,train,good,204,0,,0,0,0.000000,train\good\204.png
train__good__205,train,good,205,0,,0,0,0.000000,train\good\205.png
train__good__206,train,good,206,0,,0,0,0.000000,train\good\206.png
train__good__207,train,good,207,0,,0,0,0.000000,train\good\207.png
train__good__208,train,good,208,0,,0,0,0.000000,train\good\208.png
train__good__209,train,good,209,0,,0,0,0.000000,train\good\209.png
train__good__210,train,good,210,0,,0,0,0.000000,train\good\210.png
train__good__211,train,good,211,0,,0,0,0.000000,train\good\211.png
train__good__212,train,good,212,0,,0,0,0.000000,train\good\212.png
train__good__213,train,good,213,0,,0,0,0.000000,train\good\213.png
train__good__214,train,good,214,0,,0,0,0.000000,train\good\214.png
train__good__215,train,good,215,0,,0,0,0.000000,train\good\215.png
train__good__216,train,good,216,0,,0,0,0.000000,train\good\216.png
train__good__217,train,good,217,0,,0,0,0.000000,train\good\217.png
train__good__218,train,good,218,0,,0,0,0.000000,train\good\218.png
train__good__219,train,good,219,0,,0,0,0.000000,train\good\219.png
train__good__220,train,good,220,0,,0,0,0.000000,train\good\220.png
train__good__221,train,good,221,0,,0,0,0.000000,train\good\221.png
train__good__222,train,good,222,0,,0,0,0.000000,train\good\222.png
train__good__223,train,good,223,0,,0,0,0.000000,train\good\223.png
test__bent_wire__000,test,bent_wire,000,1,0,2,0,0.022089,test\bent_wire\000.png
test__bent_wire__001,test,bent_wire,001,1,0,1,0,0.014502,test\bent_wire\001.png
test__bent_wire__002,test,bent_wire,002,1,0,1,0,0.035365,test\bent_wire\002.png
test__bent_wire__003,test,bent_wire,003,1,0,1,0,0.012284,test\bent_wire\003.png
test__bent_wire__004,test,bent_wire,004,1,0,1,0,0.031322,test\bent_wire\004.png
test__bent_wire__005,test,bent_wire,005,1,0,1,0,0.035990,test\bent_wire\005.png
test__bent_wire__006,test,bent_wire,006,1,0,1,0,0.038895,test\bent_wire\006.png
test__bent_wire__007,test,bent_wire,007,1,0,1,0,0.036766,test\bent_wire\007.png
test__bent_wire__008,test,bent_wire,008,1,0,1,0,0.018748,test\bent_wire\008.png
test__bent_wire__009,test,bent_wire,009,1,0,1,0,0.036432,test\bent_wire\009.png
test__bent_wire__010,test,bent_wire,010,1,0,3,0,0.036337,test\bent_wire\010.png
test__bent_wire__011,test,bent_wire,011,1,0,1,0,0.113708,test\bent_wire\011.png
test__bent_wire__012,test,bent_wire,012,1,0,3,0,0.069014,test\bent_wire\012.png
test__cable_swap__000,test,cable_swap,000,1,1,1,0,0.064023,test\cable_swap\000.png
test__cable_swap__001,test,cable_swap,001,1,1,1,0,0.058664,test\cable_swap\001.png
test__cable_swap__002,test,cable_swap,002,1,1,1,0,0.054458,test\cable_swap\002.png
test__cable_swap__003,test,cable_swap,003,1,1,1,0,0.056327,test\cable_swap\003.png
test__cable_swap__004,test,cable_swap,004,1,1,1,0,0.052486,test\cable_swap\004.png
test__cable_swap__005,test,cable_swap,005,1,1,1,0,0.062441,test\cable_swap\005.png
test__cable_swap__006,test,cable_swap,006,1,1,1,0,0.064749,test\cable_swap\006.png
test__cable_swap__007,test,cable_swap,007,1,1,1,0,0.060754,test\cable_swap\007.png
test__cable_swap__008,test,cable_swap,008,1,1,1,0,0.058829,test\cable_swap\008.png
test__cable_swap__009,test,cable_swap,009,1,1,1,0,0.055514,test\cable_swap\009.png
test__cable_swap__010,test,cable_swap,010,1,1,1,0,0.057699,test\cable_swap\010.png
test__cable_swap__011,test,cable_swap,011,1,1,1,0,0.049549,test\cable_swap\011.png
test__combined__000,test,combined,000,1,2,9,0,0.040360,test\combined\000.png
test__combined__001,test,combined,001,1,2,2,0,0.039372,test\combined\001.png
test__combined__002,test,combined,002,1,2,6,0,0.022786,test\combined\002.png
test__combined__003,test,combined,003,1,2,10,0,0.031327,test\combined\003.png
test__combined__004,test,combined,004,1,2,3,0,0.047662,test\combined\004.png
test__combined__005,test,combined,005,1,2,1,0,0.141675,test\combined\005.png
test__combined__006,test,combined,006,1,2,2,0,0.089656,test\combined\006.png
test__combined__007,test,combined,007,1,2,2,0,0.074290,test\combined\007.png
test__combined__008,test,combined,008,1,2,2,0,0.046263,test\combined\008.png
test__combined__009,test,combined,009,1,2,2,0,0.088631,test\combined\009.png
test__combined__010,test,combined,010,1,2,2,0,0.074650,test\combined\010.png
test__cut_inner_insulation__000,test,cut_inner_insulation,000,1,3,1,0,0.031763,test\cut_inner_insulation\000.png
test__cut_inner_insulation__001,test,cut_inner_insulation,001,1,3,1,0,0.029142,test\cut_inner_insulation\001.png
test__cut_inner_insulation__002,test,cut_inner_insulation,002,1,3,1,0,0.025681,test\cut_inner_insulation\002.png
test__cut_inner_insulation__003,test,cut_inner_insulation,003,1,3,2,0,0.059956,test\cut_inner_insulation\003.png
test__cut_inner_insulation__004,test,cut_inner_insulation,004,1,3,1,0,0.042327,test\cut_inner_insulation\004.png
test__cut_inner_insulation__005,test,cut_inner_insulation,005,1,3,1,0,0.026105,test\cut_inner_insulation\005.png
test__cut_inner_insulation__006,test,cut_inner_insulation,006,1,3,1,0,0.018859,test\cut_inner_insulation\006.png
test__cut_inner_insulation__007,test,cut_inner_insulation,007,1,3,3,0,0.039167,test\cut_inner_insulation\007.png
test__cut_inner_insulation__008,test,cut_inner_insulation,008,1,3,1,0,0.025048,test\cut_inner_insulation\008.png
test__cut_inner_insulation__009,test,cut_inner_insulation,009,1,3,2,0,0.058313,test\cut_inner_insulation\009.png
test__cut_inner_insulation__010,test,cut_inner_insulation,010,1,3,1,0,0.030198,test\cut_inner_insulation\010.png
test__cut_inner_insulation__011,test,cut_inner_insulation,011,1,3,1,0,0.053722,test\cut_inner_insulation\011.png
test__cut_inner_insulation__012,test,cut_inner_insulation,012,1,3,3,0,0.098944,test\cut_inner_insulation\012.png
test__cut_inner_insulation__013,test,cut_inner_insulation,013,1,3,1,0,0.028365,test\cut_inner_insulation\013.png
test__cut_outer_insulation__000,test,cut_outer_insulation,000,1,4,1,0,0.022367,test\cut_outer_insulation\000.png
test__cut_outer_insulation__001,test,cut_outer_insulation,001,1,4,1,0,0.007165,test\cut_outer_insulation\001.png
test__cut_outer_insulation__002,test,cut_outer_insulation,002,1,4,1,0,0.013927,test\cut_outer_insulation\002.png
test__cut_outer_insulation__003,test,cut_outer_insulation,003,1,4,1,0,0.007340,test\cut_outer_insulation\003.png
test__cut_outer_insulation__004,test,cut_outer_insulation,004,1,4,3,0,0.022936,test\cut_outer_insulation\004.png
test__cut_outer_insulation__005,test,cut_outer_insulation,005,1,4,2,0,0.004432,test\cut_outer_insulation\005.png
test__cut_outer_insulation__006,test,cut_outer_insulation,006,1,4,1,0,0.011168,test\cut_outer_insulation\006.png
test__cut_outer_insulation__007,test,cut_outer_insulation,007,1,4,4,0,0.020925,test\cut_outer_insulation\007.png
test__cut_outer_insulation__008,test,cut_outer_insulation,008,1,4,1,0,0.033891,test\cut_outer_insulation\008.png
test__cut_outer_insulation__009,test,cut_outer_insulation,009,1,4,2,0,0.009840,test\cut_outer_insulation\009.png
test__good__000,test,good,000,0,,0,0,0.000000,test\good\000.png
test__good__001,test,good,001,0,,0,0,0.000000,test\good\001.png
test__good__002,test,good,002,0,,0,0,0.000000,test\good\002.png
test__good__003,test,good,003,0,,0,0,0.000000,test\good\003.png
test__good__004,test,good,004,0,,0,0,0.000000,test\good\004.png
test__good__005,test,good,005,0,,0,0,0.000000,test\good\005.png
test__good__006,test,good,006,0,,0,0,0.000000,test\good\006.png
test__good__007,test,good,007,0,,0,0,0.000000,test\good\007.png
test__good__008,test,good,008,0,,0,0,0.000000,test\good\008.png
test__good__009,test,good,009,0,,0,0,0.000000,test\good\009.png
test__good__010,test,good,010,0,,0,0,0.000000,test\good\010.png
test__good__011,test,good,011,0,,0,0,0.000000,test\good\011.png
test__good__012,test,good,012,0,,0,0,0.000000,test\good\012.png
test__good__013,test,good,013,0,,0,0,0.000000,test\good\013.png
test__good__014,test,good,014,0,,0,0,0.000000,test\good\014.png
test__good__015,test,good,015,0,,0,0,0.000000,test\good\015.png
test__good__016,test,good,016,0,,0,0,0.000000,test\good\016.png
test__good__017,test,good,017,0,,0,0,0.000000,test\good\017.png
test__good__018,test,good,018,0,,0,0,0.000000,test\good\018.png
test__good__019,test,good,019,0,,0,0,0.000000,test\good\019.png
test__good__020,test,good,020,0,,0,0,0.000000,test\good\020.png
test__good__021,test,good,021,0,,0,0,0.000000,test\good\021.png
test__good__022,test,good,022,0,,0,0,0.000000,test\good\022.png
test__good__023,test,good,023,0,,0,0,0.000000,test\good\023.png
test__good__024,test,good,024,0,,0,0,0.000000,test\good\024.png
test__good__025,test,good,025,0,,0,0,0.000000,test\good\025.png
test__good__026,test,good,026,0,,0,0,0.000000,test\good\026.png
test__good__027,test,good,027,0,,0,0,0.000000,test\good\027.png
test__good__028,test,good,028,0,,0,0,0.000000,test\good\028.png
test__good__029,test,good,029,0,,0,0,0.000000,test\good\029.png
test__good__030,test,good,030,0,,0,0,0.000000,test\good\030.png
test__good__031,test,good,031,0,,0,0,0.000000,test\good\031.png
test__good__032,test,good,032,0,,0,0,0.000000,test\good\032.png
test__good__033,test,good,033,0,,0,0,0.000000,test\good\033.png
test__good__034,test,good,034,0,,0,0,0.000000,test\good\034.png
test__good__035,test,good,035,0,,0,0,0.000000,test\good\035.png
test__good__036,test,good,036,0,,0,0,0.000000,test\good\036.png
test__good__037,test,good,037,0,,0,0,0.000000,test\good\037.png
test__good__038,test,good,038,0,,0,0,0.000000,test\good\038.png
test__good__039,test,good,039,0,,0,0,0.000000,test\good\039.png
test__good__040,test,good,040,0,,0,0,0.000000,test\good\040.png
test__good__041,test,good,041,0,,0,0,0.000000,test\good\041.png
test__good__042,test,good,042,0,,0,0,0.000000,test\good\042.png
test__good__043,test,good,043,0,,0,0,0.000000,test\good\043.png
test__good__044,test,good,044,0,,0,0,0.000000,test\good\044.png
test__good__045,test,good,045,0,,0,0,0.000000,test\good\045.png
test__good__046,test,good,046,0,,0,0,0.000000,test\good\046.png
test__good__047,test,good,047,0,,0,0,0.000000,test\good\047.png
test__good__048,test,good,048,0,,0,0,0.000000,test\good\048.png
test__good__049,test,good,049,0,,0,0,0.000000,test\good\049.png
test__good__050,test,good,050,0,,0,0,0.000000,test\good\050.png
test__good__051,test,good,051,0,,0,0,0.000000,test\good\051.png
test__good__052,test,good,052,0,,0,0,0.000000,test\good\052.png
test__good__053,test,good,053,0,,0,0,0.000000,test\good\053.png
test__good__054,test,good,054,0,,0,0,0.000000,test\good\054.png
test__good__055,test,good,055,0,,0,0,0.000000,test\good\055.png
test__good__056,test,good,056,0,,0,0,0.000000,test\good\056.png
test__good__057,test,good,057,0,,0,0,0.000000,test\good\057.png
test__missing_cable__000,test,missing_cable,000,1,5,1,0,0.071038,test\missing_cable\000.png
test__missing_cable__001,test,missing_cable,001,1,5,1,0,0.068439,test\missing_cable\001.png
test__missing_cable__002,test,missing_cable,002,1,5,1,0,0.065983,test\missing_cable\002.png
test__missing_cable__003,test,missing_cable,003,1,5,1,0,0.071390,test\missing_cable\003.png
test__missing_cable__004,test,missing_cable,004,1,5,1,0,0.074277,test\missing_cable\004.png
test__missing_cable__005,test,missing_cable,005,1,5,1,0,0.067501,test\missing_cable\005.png
test__missing_cable__006,test,missing_cable,006,1,5,1,0,0.225807,test\missing_cable\006.png
test__missing_cable__007,test,missing_cable,007,1,5,1,0,0.151565,test\missing_cable\007.png
test__missing_cable__008,test,missing_cable,008,1,5,1,0,0.137496,test\missing_cable\008.png
test__missing_cable__009,test,missing_cable,009,1,5,1,0,0.144269,test\missing_cable\009.png
test__missing_cable__010,test,missing_cable,010,1,5,1,0,0.080463,test\missing_cable\010.png
test__missing_cable__011,test,missing_cable,011,1,5,1,0,0.073667,test\missing_cable\011.png
test__missing_wire__000,test,missing_wire,000,1,6,1,0,0.023795,test\missing_wire\000.png
test__missing_wire__001,test,missing_wire,001,1,6,1,0,0.015846,test\missing_wire\001.png
test__missing_wire__002,test,missing_wire,002,1,6,1,0,0.014454,test\missing_wire\002.png
test__missing_wire__003,test,missing_wire,003,1,6,2,0,0.038815,test\missing_wire\003.png
test__missing_wire__004,test,missing_wire,004,1,6,2,0,0.036850,test\missing_wire\004.png
test__missing_wire__005,test,missing_wire,005,1,6,1,0,0.017845,test\missing_wire\005.png
test__missing_wire__006,test,missing_wire,006,1,6,1,0,0.017547,test\missing_wire\006.png
test__missing_wire__007,test,missing_wire,007,1,6,1,0,0.017965,test\missing_wire\007.png
test__missing_wire__008,test,missing_wire,008,1,6,1,0,0.017948,test\missing_wire\008.png
test__missing_wire__009,test,missing_wire,009,1,6,1,0,0.019536,test\missing_wire\009.png
test__poke_insulation__000,test,poke_insulation,000,1,7,1,0,0.008221,test\poke_insulation\000.png
test__poke_insulation__001,test,poke_insulation,001,1,7,2,0,0.029971,test\poke_insulation\001.png
test__poke_insulation__002,test,poke_insulation,002,1,7,1,0,0.001436,test\poke_insulation\002.png
test__poke_insulation__003,test,poke_insulation,003,1,7,4,0,0.012756,test\poke_insulation\003.png
test__poke_insulation__004,test,poke_insulation,004,1,7,1,0,0.030110,test\poke_insulation\004.png
test__poke_insulation__005,test,poke_insulation,005,1,7,5,0,0.006305,test\poke_insulation\005.png
test__poke_insulation__006,test,poke_insulation,006,1,7,1,0,0.026455,test\poke_insulation\006.png
test__poke_insulation__007,test,poke_insulation,007,1,7,1,0,0.048664,test\poke_insulation\007.png
test__poke_insulation__008,test,poke_insulation,008,1,7,1,0,0.039724,test\poke_insulation\008.png
test__poke_insulation__009,test,poke_insulation,009,1,7,2,0,0.035336,test\poke_insulation\009.png
